keys,zh_CN
"Construction Site: %s %d%% | %s | Use command card to cancel/exit/select worker.","施工地块: %s %d%% | %s | 使用指令卡执行取消/退出/选中工人。"
"Construction started: %s.","施工开始：%s。"
"Construction: %s\nParadigm: %s\nProgress: %d%%\nHP: %s","施工: %s\n范式: %s\n进度: %d%%\n生命: %s"
"Control Group %d (%d)","控制组 %d (%d)"
"Control Group %d appended (+%d, total %d).","控制组 %d 已追加（+%d，总计 %d）。"
"Control Group %d has no valid units.","控制组 %d 没有有效单位。"
"Control Group %d is empty.","控制组 %d 为空。"
"Control Group %d selected (%d), camera centered.","控制组 %d 已选中（%d），镜头已居中。"
"Control Group %d selected (%d).","控制组 %d 已选中（%d）。"
"Control Group %d set (%d).","控制组 %d 已设置（%d）。"
"Control Group %d: no selection.","控制组 %d: 当前无选择。"
"Cost: %s","花费: %s"
"Details","详情"
"EN %d%%","能量 %d%%"
"Enables better target acquisition.","提高目标获取能力。"
"Eng Bay","工程站"
"Engineering Bay","工程站"
"Exit Build","退出建造"
"Field Logistics","战地后勤"
"Finish or cancel current placement first.","请先完成或取消当前放置。"
"Garrisoned","驻扎式"
"GAS","气"
"Gather","采集"
"Gathering","采集中"
"Global selected: %s x%d.","全局选中: %s x%d。"
"Help","帮助"
"Hotkey: %s","快捷键: %s"
"HP %d%%","生命 %d%%"
"Idle","待机"
"Improves infantry firepower.","提升步兵火力。"
"Improves infantry survivability.","提升步兵生存能力。"
"Incorporated","融合式"
"Incorporated worker ejected at 50% HP.","融合工人已弹出（50%生命值）。"
"Infantry Armor I","步兵护甲 I"
"Infantry Weapons I","步兵武器 I"
"invalid","不可放置"
"Invalid","不可放置"
"Invalid build cost.","建造花费无效。"
"Invalid research cost.","研究花费无效。"
"Left click to select, drag for box selection, right click to move.","左键单选，拖拽框选，右键移动。"
"Locked - %s","未解锁 - %s"
"Logistics","后勤"
"M: %d   G: 0   Supply: %d/%d","矿: %d   气: 0   补给: %d/%d"
"M: 0   G: 0   Supply: 0/40","矿: 0   气: 0   补给: 0/40"
"Main Base","主基地"
"Match outcome triggered: %s","对局结果触发: %s"
"Match Rule: %s","对局规则: %s"
"Menu","菜单"
"Menu (F10)","菜单 (F10)"
"MIN","矿"
"Mission","任务"
"Move","移动"
"Moving","移动中"
"No","否"
"No active command card.","当前无可用指令卡。"
"No assigned worker.","没有指派工人。"
"No available trainer for %s.","没有可用的 %s 训练建筑。"
"No available worker to repair target.","没有可用工人可修理该目标。"
"No available worker to resume construction.","没有可用工人可恢复施工。"
"No matching construction site for this command.","没有匹配该命令的施工地块。"
"No mixed unit subgroup to cycle.","当前没有可循环的混合子编组。"
"No selected building can train %s.","当前选中建筑无法训练 %s。"
"No Selection","未选中"
"No selection | Select worker/builder to open Build Menu | Left drag: Box Select","未选中 | 选择工人/建造建筑以打开建造菜单 | 左键拖拽: 框选"
"No selection.","未选中。"
"Not enough minerals for %s.","%s 所需矿物不足。"
"Not enough minerals.","矿物不足。"
"Notify-only mode for testing.","仅通知模式（测试用）。"
"Open categorized build options (Garrisoned / Summoning / Incorporated).","打开分类建造选项（驻扎式 / 召唤式 / 融合式）。"
"Open categorized structure menus.","打开分类建筑菜单。"
"Optimizes frontline throughput.","优化前线运作效率。"
"Page %d/%d","第 %d/%d 页"
"Paused","暂停"
"Pending construction canceled (%s).","待施工任务已取消（%s）。"
"Ping","信号"
"Ping mode active. Left click world/minimap to ping, RMB/ESC cancel.","信号模式已启用。左键世界/小地图发送信号，右键/ESC取消。"
"Ping mode: Left click world/minimap to place ping. RMB/ESC cancel.","信号模式：左键世界/小地图放置信号。右键/ESC取消。"
"Ping sent.","信号已发送。"
"Placement %s | Cost: %d | R Rotate | Shift+LMB Chain","放置 %s | 花费: %d | R旋转 | Shift+左键连放"
"Placement mode active. LMB confirm, Shift+LMB chain build, R rotate, RMB/ESC cancel.","放置模式已启用。左键确认，Shift+左键连放，R旋转，右键/ESC取消。"
"Placing %s (%d): %s | LMB Confirm | Shift+LMB Chain | R Rotate | RMB/ESC Cancel","放置 %s (%d): %s | 左键确认 | Shift+左键连放 | R旋转 | 右键/ESC取消"
"Portrait","肖像"
"Psi Relay","灵能中继"
"Psionic Relay","灵能中继"
"Queue %d","队列 %d"
"Queue full: max 32 commands per unit.","队列已满: 每单位最多32条命令。"
"Queue input active. Shift-held commands are appended.","队列输入已启用。按住Shift会追加命令。"
"Queue Input: Shift held | Alt+LMB queue marker trims this and later points | W%d S%d B%d","队列输入: 按住Shift | Alt+左键可裁剪该点及后续队列标记 | 工%d 兵%d 建%d"
"Queue is full (max 32). Command rejected.","队列已满（最多32条）。命令被拒绝。"
"Queue Size: %d","队列数量: %d"
"R: Train Worker (%d) | T: Train Soldier (%d) | A: Attack/Attack-Move | S: Stop | Tab: Subgroup Cycle","R: 训练工人(%d) | T: 训练士兵(%d) | A: 攻击/攻击移动 | S: 停止 | Tab: 子编组循环"
"R: Train Worker / T: Train Soldier","R: 训练工人 / T: 训练士兵"
"Rally relay chain is full (max %d hops).","集结中继链已满（最多 %d 跳）。"
"Rally relay full: max %d hops per building.","集结中继已满: 每建筑最多 %d 跳。"
"Removed: %s.","已移除: %s。"
"Repair","修理"
"Repair a damaged friendly building.","Repair a damaged friendly building."
"Repair requires a damaged friendly unit/building.","修理需要目标为受损的友方单位/建筑。"
"Repairing","修理中"
"Requires at least one combat unit.","至少需要一个战斗单位。"
"Requires at least one worker in selection.","选中中至少需要一个工人。"
"Research in progress.","研究进行中。"
"Researching %s (%ds remaining).","正在研究 %s（剩余 %d 秒）。"
"Researching %s (%ds). +%d more active.","正在研究 %s（%d秒）。另有 %d 项同时进行。"
"Return","回收"
"Returning","回收中"
"RMB context command or click move/gather/stop in command card.","右键上下文命令，或在指令卡点击移动/采集/停止。"
"RMB Smart: Attack>Gather>Return>Repair>Follow>Rally>Move | Shift+RMB Queue | Ctrl+0-9 Set Group | Shift+0-9 Append | 0-9 Select/DoubleTap Focus | Matrix: LMB isolate / Shift+LMB same type / Ctrl+LMB remove","右键智能: 攻击>采集>回收>修理>跟随>集结>移动 | Shift+右键排队 | Ctrl+0-9设组 | Shift+0-9追加 | 0-9选组/双击聚焦 | 矩阵: 左键隔离 / Shift+左键同类 / Ctrl+左键移除"
"Role: %s\nState: %s\nHP: %s\nCmd Queue: %d","角色: %s\n状态: %s\n生命: %s\n指令队列: %d"
"Rotate","旋转"
"Screen selected: %s x%d.","屏幕内选中: %s x%d。"
"Select a construction site.","请选择一个施工地块。"
"Select a garrisoned worker to exit construction.","请选择一个驻扎施工中的工人以退出施工。"
"Select a unit or building to inspect details.","选择单位或建筑以查看详情。"
"Select a worker or builder building to open build commands.","请选择工人或可建造建筑以打开建造命令。"
"Select an incorporated construction site.","请选择一个融合式施工地块。"
"Select something to open context commands.","请先选择目标以打开上下文命令。"
"Select Worker","选择工人"
"Selected -> Worker %d | Soldier %d | Building %d","已选 -> 工人 %d | 士兵 %d | 建筑 %d"
"Selected Building: %d queue item(s) | R/T Train | RMB Set Rally | Shift+RMB Append Relay | Flag: M/G/A/F/R","已选建筑: %d 条队列 | R/T训练 | 右键设集结点 | Shift+右键追加中继 | 标记: M/G/A/F/R"
"Selected Building: %d queue item(s) | R/T: Train by building type","已选建筑: %d 条队列 | R/T: 按建筑类型训练"
"Selected Building: %d queue item(s) | Shift held: RMB append rally relay hop (max %d) | Flag: M/G/A/F/R","已选建筑: %d 条队列 | 按住Shift: 右键追加集结中继(最多%d) | 标记: M/G/A/F/R"
"Selected buildings cannot build structures.","当前选中建筑无法建造结构。"
"Selected buildings cannot perform this research.","当前选中建筑无法执行该研究。"
"Selected construction worker.","已选中施工工人。"
"Selected workers are not carrying minerals.","选中的工人未携带矿物。"
"Selected: %s x%d.","已选中: %s x%d。"
"Selected: %s.","已选中: %s。"
"Selection matrix has only one page.","选择矩阵只有一页。"
"Selection matrix page %d/%d.","选择矩阵第 %d/%d 页。"
"Selection Page %d","选择页 %d"
"SH %d%%","护盾 %d%%"
"Show garrisoned construction structures.","显示驻扎式建筑。"
"Show incorporated (sacrifice) structures.","显示融合式（献祭）建筑。"
"Show summoning construction structures.","显示召唤式建筑。"
"Soldier","士兵"
"Stop","停止"
"Subgroup active: %s (%d/%d).","子编组已激活: %s (%d/%d)。"
"Subgroup active: %s | Tab cycles subgroup | Commands apply to active subgroup only.","子编组激活: %s | Tab循环子编组 | 命令仅作用于当前子编组。"
"Subgroup: %d Units%s","子编组: %d 单位%s"
"Subgroup: %s (%d/%d) | Tab Cycle%s","子编组: %s (%d/%d) | Tab循环%s"
"Subgroup: All (%d types) | Tab Cycle%s","子编组: 全部 (%d 类型) | Tab循环%s"
"Subgroup: None","子编组: 无"
"Subgroup: Single","子编组: 单体"
"Summoning","召唤式"
"Summoning cast complete: worker released.","召唤施法完成：工人已释放。"
"SUP","补给"
"Supply is capped.","补给已封顶。"
"Targeted skill armed. Left click world target, RMB/ESC to cancel.","定向技能已就绪。左键选择世界目标，右键/ESC取消。"
"Targeting","瞄准"
"Targeting %s | Left Click Damaged Friendly Unit/Building | RMB/ESC Cancel","目标模式 %s | 左键受损友军单位/建筑 | 右键/ESC取消"
"Targeting %s | Left Click Enemy for focus fire, or Ground for attack-move | RMB/ESC Cancel","目标模式 %s | 左键敌人集火，或左键地面攻击移动 | 右键/ESC取消"
"Targeting %s | Left Click Ground | RMB/ESC Cancel","目标模式 %s | 左键地面 | 右键/ESC取消"
"Targeting %s | Left Click Resource | RMB/ESC Cancel","目标模式 %s | 左键资源 | 右键/ESC取消"
"Targeting %s | RMB/ESC Cancel","目标模式 %s | 右键/ESC取消"
"Targeting: %s","目标模式: %s"
"Tech Lab","科技实验室"
"Tech: %s","科技需求: %s"
"Terrain","地形"
"Tower","炮塔"
"Train Soldier","训练士兵"
"Train Worker","训练工人"
"Train Worker: %s\nTrain Soldier: %s","训练工人: %s\n训练士兵: %s"
"Type: %s | Build: %.1fs | Cancel Refund: %d%%","类型: %s | 建造: %.1f秒 | 取消返还: %d%%"
"Unit","单位"
"Unknown build skill.","未知建造技能。"
"Unknown research command.","未知研究命令。"
"Unlocked Tech: %d | Active Research: %d","已解锁科技: %d | 进行中研究: %d"
"valid","可放置"
"Valid","可放置"
"Void Core","虚空核心"
"W %d  S %d  B %d","工 %d  兵 %d  建 %d"
"Warp","跃迁"
"Warp Gate","跃迁门"
"Weapons I","武器 I"
"Work interrupted: executing queued orders.","工作已中断：开始执行排队命令。"
"Worker","工人"
"Worker assigned to resume construction.","已分配工人恢复施工。"
"Worker construction active: %d order(s).","工人施工进行中: %d 条任务。"
"Worker is building: command queued after construction.","工人施工中：命令将在施工后排队执行。"
"Worker is garrisoned in construction. ESC or Exit Build releases worker; other commands are queued.","工人正驻扎施工中。ESC或退出建造可释放工人；其他命令会排队。"
"Worker is locked in construction. Exit first.","工人处于施工锁定状态，请先退出施工。"
"Worker queue accepted: will switch after current gather/return.","工人队列命令已接收：将在当前采集/回收后切换。"
"Worker switched to queued orders.","工人已切换到排队命令。"
"Yes","是"
